aldur	fjöldi	dánartíðni	fæðingartíðni   aðfluttir_umfram_brottflutta
0	4495	0.0018	0.0000	19
1	4397	0.0001	0.0000	28
2	4242	0.0001	0.0000	38
3	4200	0.0001	0.0000	40
4	4264	0.0001	0.0000	42
5	4400	0.0001	0.0000	30
6	4512	0.0001	0.0000	38
7	4588	0.0001	0.0000	42
8	4688	0.0001	0.0000	44
9	4839	0.0001	0.0000	36
10	5023	0.0001	0.0000	44
11	4974	0.0001	0.0000	34
12	4786	0.0001	0.0000	38
13	4656	0.0001	0.0000	35
14	4547	0.0001	0.0000	34
15	4513	0.0001	0.0000	33
16	4449	0.0002	0.0005	31
17	4336	0.0002	0.0006	41
18	4372	0.0004	0.0015	72
19	4606	0.0004	0.0049	147
20	4771	0.0003	0.0072	158
21	4873	0.0003	0.0096	139
22	5094	0.0003	0.0182	168
23	5369	0.0003	0.0222	215
24	5514	0.0005	0.0293	200
25	5751	0.0005	0.0348	235
26	6083	0.0005	0.0408	235
27	6204	0.0005	0.0494	249
28	6151	0.0004	0.0515	204
29	6208	0.0005	0.0541	199
30	6125	0.0008	0.0601	165
31	5945	0.0006	0.0559	150
32	5621	0.0006	0.0525	150
33	5257	0.0010	0.0446	136
34	5110	0.0007	0.0456	128
35	5148	0.0010	0.0422	120
36	5237	0.0006	0.0379	101
37	5265	0.0010	0.0301	116
38	5207	0.0009	0.0260	97
39	5214	0.0009	0.0193	98
40	5237	0.0010	0.0154	91
41	4986	0.0009	0.0122	91
42	4679	0.0008	0.0099	78
43	4670	0.0011	0.0076	84
44	4744	0.0012	0.0056	85
45	4642	0.0008	0.0044	83
46	4724	0.0008	0.0042	68
47	4890	0.0012	0.0019	54
48	4661	0.0020	0.0027	62
49	4324	0.0019	0.0014	66
50	4282	0.0019	0.0008	54
51	4288	0.0019	0.0011	35
52	4307	0.0018	0.0006	45
53	4470	0.0025	0.0013	34
54	4527	0.0030	0.0004	29
55	4489	0.0041	0.0007	22
56	4496	0.0033	0.0004	25
57	4444	0.0037	0.0006	19
58	4280	0.0037	0.0003	14
59	4256	0.0052	0.0003	14
60	4357	0.0043	0.0004	13
61	4246	0.0055	0.0000	9
62	4131	0.0057	0.0001	2
63	4040	0.0068	0.0000	3
64	3877	0.0062	0.0002	1
65	3706	0.0074	0.0002	2
66	3597	0.0085	0.0000	-1
67	3438	0.0100	0.0000	0
68	3265	0.0101	0.0000	-2
69	3194	0.0113	0.0000	-3
70	3084	0.0120	0.0000	2
71	2958	0.0141	0.0000	0
72	2801	0.0163	0.0000	-4
73	2592	0.0182	0.0000	1
74	2459	0.0218	0.0000	0
75	2310	0.0241	0.0000	1
76	2098	0.0271	0.0000	2
77	1947	0.0282	0.0000	0
78	1742	0.0320	0.0000	1
79	1532	0.0403	0.0000	0
80	1412	0.0417	0.0000	-1
81	1310	0.0496	0.0000	1
82	1232	0.0615	0.0000	1
83	1170	0.0707	0.0000	-1
84	1070	0.0748	0.0000	0
85	970	0.0867	0.0000	1
86	889	0.0970	0.0000	1
87	822	0.1098	0.0000	0
88	743	0.1229	0.0000	0
89	692	0.1332	0.0000	0
90	597	0.1597	0.0000	0
91	460	0.1742	0.0000	0
92	359	0.2085	0.0000	0
93	300	0.2181	0.0000	0
94	225	0.2435	0.0000	0
95	155	0.3058	0.0000	0
96	105	0.3671	0.0000	0
97	69	0.3567	0.0000	0
98	52	0.2960	0.0000	0
99	30	0.3421	0.0000	0
100	18	0.4211	0.0000	0
101	13	0.4789	0.0000	0
102	10	0.4789	0.0000	0
103	6	0.4789	0.0000	0
104	2	0.4789	0.0000	0
105	0	0.4789	0.0000	0
106	0	0.4789	0.0000	0
107	1	0.4789	0.0000	0
108	1	0.4789	0.0000	0
109	0	0.4789	0.0000	0
110	0	1.0000	0.0000	0
